order_no,customer_id,order_date,status,channel,payment_method,total_amount_krw
1000156,200713,2024-12-18,배송완료,전화,계좌이체,58576160
1000157,200253,2025-10-07,배송중,온라인,계좌이체,35576170
1000158,201986,2025-04-16,배송완료,영업사원,카드,40166050
1000159,200269,2024-02-07,배송완료,온라인,카드,48784900
1000160,200767,2024-02-12,결제완료,온라인,여신,2251480
1000161,201018,2023-07-12,배송완료,온라인,현금,33653370
1000162,200265,2024-01-03,배송완료,전화,현금,12939840
1000163,200906,2024-06-27,배송완료,영업사원,카드,94602435
1000164,201173,2023-06-13,결제완료,매장,계좌이체,108355310
1000165,201805,2024-10-22,결제완료,영업사원,여신,119884710
1000166,201642,2023-07-01,배송완료,매장,카드,9886850
1000167,201236,2025-01-07,배송완료,영업사원,계좌이체,51628300
1000168,201611,2023-09-30,배송완료,영업사원,계좌이체,137425920
1000169,200529,2023-12-05,배송완료,매장,카드,9867600
1000170,200280,2024-05-03,결제완료,온라인,카드,13542400
1000171,200867,2024-01-22,배송완료,영업사원,카드,51276800
1000172,201239,2025-12-11,배송완료,영업사원,카드,120812405
1000173,200414,2024-03-28,배송완료,매장,계좌이체,44067400
1000174,201380,2023-11-13,배송완료,온라인,여신,66577865
1000175,200823,2024-09-03,결제완료,매장,현금,44574000
1000176,200108,2024-05-02,배송완료,매장,현금,71218000
1000177,200278,2024-08-12,배송완료,전화,카드,9458800
1000178,200271,2025-10-12,배송완료,매장,카드,86874650
1000179,201726,2023-03-23,배송완료,전화,여신,78077965
1000180,201323,2024-03-03,배송완료,전화,카드,86369155
1000181,200528,2025-11-02,배송완료,전화,계좌이체,106516360
1000182,200262,2023-09-27,결제완료,전화,현금,116416010
1000183,200467,2024-05-30,배송완료,매장,계좌이체,21080025
1000184,201863,2024-01-31,주문접수,매장,계좌이체,86636565
1000185,200420,2025-07-11,배송완료,전화,현금,139479210
1000186,200821,2024-09-18,배송완료,매장,계좌이체,121907580
1000187,201989,2023-01-08,주문접수,온라인,여신,49395770
1000188,200821,2023-09-29,배송완료,영업사원,현금,112718035
1000189,200672,2025-01-04,취소,영업사원,여신,19156100
1000190,200692,2025-12-03,결제완료,온라인,계좌이체,109003510
1000191,200359,2024-06-09,주문접수,매장,여신,46937500
1000192,201869,2025-12-30,반품,영업사원,카드,26436800
1000193,201496,2023-05-11,배송완료,전화,계좌이체,46525400
1000194,201877,2024-03-10,배송완료,온라인,현금,83501420
1000195,201530,2023-05-22,배송완료,매장,현금,106478695
1000196,200225,2024-03-05,배송완료,온라인,현금,51583140
1000197,201021,2024-04-01,배송중,온라인,계좌이체,28372410
1000198,201348,2025-06-04,배송완료,온라인,여신,83587080
1000199,200392,2024-10-01,배송완료,전화,여신,64055175
1000200,200943,2025-01-12,배송중,영업사원,현금,5227000
1000201,201862,2025-12-06,결제완료,전화,여신,18705780
1000202,201427,2025-11-19,주문접수,영업사원,카드,17103015
1000203,201510,2025-01-08,결제완료,영업사원,계좌이체,145663125
1000204,201434,2023-01-06,배송완료,온라인,카드,21862000
1000205,200960,2025-10-22,배송완료,전화,여신,37678270
1000206,201276,2023-02-17,취소,영업사원,카드,11993000
1000207,200923,2025-10-26,반품,영업사원,카드,2437800
1000208,200074,2025-05-27,배송완료,영업사원,여신,57175590
1000209,201190,2024-10-23,결제완료,영업사원,현금,44448600
1000210,200643,2024-02-19,배송중,온라인,여신,3700080
1000211,201534,2024-03-06,배송완료,전화,여신,65331500
1000212,201234,2023-04-29,배송중,전화,여신,124070580
1000213,200842,2024-02-25,배송완료,영업사원,카드,37301760
1000214,200370,2023-08-23,취소,온라인,계좌이체,108204385
1000215,201671,2023-02-24,배송중,매장,여신,103108010
1000216,201597,2023-10-28,배송중,전화,여신,46759180
1000217,201355,2024-09-14,배송중,영업사원,계좌이체,63023440
1000218,201996,2024-01-27,배송완료,온라인,현금,72608320
1000219,200902,2023-03-09,배송완료,매장,현금,44115840
1000220,201456,2024-07-27,배송완료,영업사원,카드,41315990
1000221,201335,2023-07-29,결제완료,영업사원,카드,33665180
1000222,200665,2025-03-16,주문접수,전화,현금,94846075
1000223,200732,2025-05-23,배송완료,영업사원,현금,63162240
1000224,201668,2023-02-14,배송완료,매장,카드,15651815
1000225,200728,2025-10-17,배송완료,영업사원,계좌이체,17503975
1000226,201456,2023-03-19,배송완료,전화,계좌이체,63446400
1000227,201683,2024-04-09,배송완료,매장,여신,49125995
1000228,201633,2025-03-07,배송완료,전화,현금,47884185
1000229,201332,2023-06-18,취소,온라인,여신,92925045
1000230,201157,2023-05-28,배송중,온라인,현금,72098800
1000231,201674,2024-02-21,결제완료,매장,계좌이체,42858235
1000232,201579,2023-02-28,주문접수,매장,여신,127023805
1000233,200773,2025-07-15,배송완료,매장,계좌이체,98605400
1000234,200274,2024-03-26,배송완료,온라인,카드,56475920
1000235,200972,2025-07-15,배송중,매장,계좌이체,37491000
1000236,200503,2024-12-18,배송완료,온라인,여신,74472300
1000237,200505,2025-09-29,결제완료,매장,계좌이체,69429080
1000238,200996,2025-06-17,배송완료,온라인,계좌이체,26572200
1000239,201522,2024-11-16,배송완료,영업사원,여신,51375060
1000240,200289,2024-01-05,배송완료,영업사원,현금,112278600
1000241,201189,2024-02-10,배송완료,영업사원,여신,14285610
1000242,201208,2024-10-10,배송완료,전화,계좌이체,20240700
1000243,200903,2025-10-11,배송중,매장,카드,120058240
1000244,200640,2024-02-27,배송중,온라인,카드,68177710
1000245,200996,2023-06-08,배송완료,영업사원,현금,22548800
1000246,200867,2024-09-08,배송완료,매장,계좌이체,68511240
1000247,201894,2023-05-28,배송완료,매장,여신,31393200
1000248,201791,2024-11-17,반품,전화,계좌이체,13217685
1000249,200056,2025-04-06,배송완료,전화,현금,8070700
1000250,201513,2023-10-18,배송완료,전화,계좌이체,54539700
1000251,201780,2023-09-25,배송완료,온라인,카드,34421500
1000252,200234,2024-03-01,배송완료,매장,여신,56118240
1000253,201957,2023-08-28,주문접수,전화,현금,69142710
1000254,200259,2024-03-19,배송완료,전화,계좌이체,171158685
1000255,201527,2023-04-22,결제완료,전화,계좌이체,155059420
1000256,201274,2025-08-24,주문접수,온라인,현금,51801420
1000257,201000,2025-03-09,반품,전화,카드,19107120
1000258,200546,2025-08-26,결제완료,영업사원,현금,59524070
1000259,201892,2025-03-17,배송완료,전화,계좌이체,74441420
1000260,200316,2024-08-16,배송완료,영업사원,계좌이체,49002575
1000261,201526,2024-04-04,배송완료,영업사원,계좌이체,49152150
1000262,201370,2023-02-23,배송완료,전화,여신,45189000
1000263,201209,2024-04-29,배송중,영업사원,카드,146500030
1000264,200060,2024-05-16,배송완료,매장,카드,9035955
1000265,201932,2023-07-15,배송완료,온라인,현금,65061305
1000266,200816,2024-02-07,배송중,매장,여신,64649575
1000267,201726,2024-08-30,배송완료,매장,여신,138878810
1000268,201681,2024-06-21,배송완료,영업사원,여신,14252000
1000269,201472,2024-08-21,배송중,온라인,여신,12193440
1000270,201397,2024-04-04,배송완료,매장,현금,47559100
1000271,201609,2023-02-26,배송완료,온라인,계좌이체,127580400
1000272,200464,2024-04-19,배송완료,전화,카드,77027000
1000273,200577,2023-04-04,주문접수,온라인,카드,66985360
1000274,200821,2023-01-22,반품,영업사원,여신,84517185
1000275,201897,2023-09-01,배송완료,전화,계좌이체,57950520
1000276,200123,2024-03-05,배송완료,영업사원,카드,4269210
1000277,200995,2023-07-24,배송완료,전화,카드,105080410
1000278,200278,2024-09-13,취소,온라인,현금,6176610
1000279,200189,2023-09-02,배송완료,전화,여신,94636000
1000280,200385,2023-05-27,배송완료,온라인,여신,32406400
1000281,200251,2024-08-09,배송완료,매장,카드,32082000
1000282,201885,2024-11-18,배송완료,영업사원,계좌이체,10150700
1000283,200796,2023-05-17,배송완료,전화,카드,57743280
1000284,200005,2023-10-12,배송중,전화,여신,74686215
1000285,200800,2024-08-01,배송완료,전화,현금,48255100
1000286,201594,2025-10-30,배송완료,매장,여신,3109635
1000287,200828,2023-09-30,결제완료,온라인,카드,71327430
1000288,200603,2024-07-16,배송완료,전화,카드,72256670
1000289,201613,2025-11-14,배송완료,영업사원,여신,2512800
1000290,201109,2023-05-01,결제완료,매장,카드,9047250
1000291,200967,2025-04-14,배송완료,온라인,현금,47567150
1000292,200965,2024-10-31,주문접수,영업사원,카드,92983820
1000293,200468,2025-02-02,취소,전화,카드,12021600
1000294,201692,2024-10-05,배송완료,전화,여신,9576750
1000295,201140,2023-03-25,배송중,전화,현금,99405900
1000296,200497,2024-09-09,배송완료,영업사원,여신,32679820
1000297,200590,2023-09-21,배송중,온라인,여신,85375750
1000298,200455,2024-12-06,배송완료,영업사원,현금,99165210
1000299,201908,2024-05-05,주문접수,전화,카드,122789690
1000300,201116,2024-07-23,배송완료,영업사원,카드,2165940
1000301,201413,2024-09-02,배송완료,온라인,카드,56769810
1000302,200796,2024-11-10,배송완료,온라인,여신,98352000
1000303,200652,2023-10-22,배송완료,온라인,현금,22472440
1000304,201204,2023-04-30,배송완료,영업사원,계좌이체,9620535
1000305,201312,2025-03-25,배송완료,매장,현금,41983750
1000306,200357,2024-03-11,배송완료,온라인,여신,3396600
1000307,201453,2023-09-16,배송완료,영업사원,현금,43804500
1000308,201733,2023-02-28,배송완료,매장,현금,67489200
1000309,201384,2024-08-19,배송완료,영업사원,계좌이체,19095900
1000310,200095,2024-07-26,배송완료,온라인,여신,75492110
1000311,200324,2023-07-23,배송완료,영업사원,여신,14898500
1000312,201110,2023-12-29,취소,온라인,여신,65507495
1000313,200454,2023-09-16,주문접수,매장,카드,9107200
1000314,200619,2025-12-24,결제완료,온라인,계좌이체,86595400
1000315,201317,2024-05-13,배송완료,전화,여신,75775980
1000316,200204,2025-02-10,배송완료,전화,카드,39858060
1000317,201490,2025-07-09,배송중,온라인,현금,71915975
1000318,200679,2025-02-10,배송완료,온라인,카드,41924520
1000319,201373,2025-07-13,반품,매장,카드,94064800
1000320,201606,2023-11-24,배송중,매장,계좌이체,49854805
1000321,200142,2023-08-22,배송완료,전화,계좌이체,129938340
1000322,200147,2023-10-10,배송완료,온라인,카드,119439540
1000323,200060,2024-05-16,배송완료,온라인,계좌이체,51807080
1000324,200294,2024-06-15,배송완료,영업사원,여신,133265310
1000325,200702,2023-05-27,취소,온라인,여신,36224045
1000326,201647,2024-12-24,배송완료,매장,현금,105364100
1000327,200648,2024-12-08,배송완료,영업사원,여신,17765070
1000328,200533,2025-12-19,배송완료,온라인,현금,76712530
1000329,200834,2023-10-10,배송완료,매장,여신,52357035
1000330,201794,2025-05-05,결제완료,영업사원,계좌이체,19825740
1000331,200528,2024-07-05,주문접수,전화,여신,29712200
1000332,201780,2025-01-30,취소,온라인,현금,82054280
1000333,201866,2024-12-07,반품,매장,카드,102507670
1000334,200600,2025-07-16,배송중,온라인,현금,20137975
1000335,200649,2023-05-12,결제완료,영업사원,계좌이체,63587100
1000336,200009,2023-08-20,배송완료,전화,현금,10484510
1000337,200260,2025-03-05,주문접수,영업사원,여신,125059430
1000338,201483,2023-06-25,결제완료,온라인,현금,81858690
1000339,201879,2025-05-08,배송완료,전화,현금,14843500
1000340,201564,2023-07-11,취소,온라인,현금,3509730
1000341,200598,2025-03-12,배송완료,온라인,현금,39889070
1000342,200523,2023-05-20,배송완료,전화,여신,24187200
1000343,200789,2025-11-08,배송완료,매장,여신,18030900
1000344,200636,2025-07-27,배송완료,영업사원,현금,54817010
1000345,200074,2023-07-06,반품,온라인,여신,150652895
1000346,200192,2023-08-07,배송완료,매장,계좌이체,41445885
1000347,200328,2025-04-27,배송완료,전화,계좌이체,6545000
1000348,200768,2024-01-24,배송완료,매장,현금,63603030
1000349,200327,2025-03-05,배송완료,온라인,카드,43676850
1000350,201396,2024-11-07,배송완료,매장,현금,100466680
1000351,200419,2023-11-19,취소,전화,카드,105158120
1000352,200338,2024-10-17,배송완료,매장,카드,138720070
1000353,201309,2025-07-24,결제완료,영업사원,카드,65678440
1000354,200248,2025-10-23,배송완료,온라인,여신,123211180
1000355,201859,2023-06-19,배송완료,전화,계좌이체,16502325
1000356,200397,2024-08-27,결제완료,영업사원,카드,77050660
1000357,201389,2025-08-30,배송완료,전화,카드,53755655
1000358,201244,2025-02-12,배송완료,전화,계좌이체,23828940
1000359,200331,2024-07-30,반품,온라인,현금,15731670
1000360,200500,2023-01-28,배송완료,영업사원,카드,35334780
1000361,200170,2024-11-04,배송완료,매장,여신,875805
1000362,200019,2023-03-04,배송완료,전화,여신,23035385
1000363,201864,2024-11-19,배송중,영업사원,여신,43220010
1000364,201168,2023-07-06,주문접수,영업사원,계좌이체,121033100
1000365,201674,2025-04-14,배송완료,전화,현금,66168550
1000366,201758,2023-12-07,반품,온라인,카드,37844705
1000367,200623,2025-02-11,결제완료,온라인,여신,84077675
1000368,201955,2024-02-20,결제완료,매장,카드,21192315
1000369,200184,2023-04-30,배송완료,매장,카드,2685420
1000370,201133,2025-06-27,배송완료,온라인,계좌이체,24376500
1000371,201079,2024-04-17,배송완료,매장,카드,42883350
1000372,201892,2024-06-21,결제완료,매장,계좌이체,144769500
1000373,201382,2025-05-28,배송완료,전화,계좌이체,77165625
1000374,200151,2023-06-30,배송완료,영업사원,계좌이체,60536500
1000375,201239,2025-07-06,배송중,영업사원,계좌이체,15113905
1000376,200972,2025-04-15,결제완료,온라인,여신,69105765
1000377,200981,2025-03-26,주문접수,매장,여신,41659165
1000378,201116,2025-12-13,취소,매장,계좌이체,28794355
1000379,200377,2025-05-20,배송완료,매장,카드,63141000
1000380,200950,2024-08-19,배송중,전화,현금,37468640
1000381,201275,2025-09-03,배송완료,전화,카드,74290280
1000382,201125,2024-01-20,취소,영업사원,카드,46114400
1000383,201827,2025-03-04,배송완료,온라인,현금,131944560
1000384,201077,2025-05-27,배송완료,매장,여신,76951570
1000385,201150,2025-10-03,배송완료,온라인,카드,21087930
1000386,201319,2025-11-04,배송완료,온라인,여신,10438200
1000387,201355,2024-12-06,배송완료,온라인,카드,15759600
1000388,200788,2023-12-11,취소,매장,카드,18910800
1000389,201926,2023-10-06,주문접수,전화,여신,33570420
1000390,200745,2024-05-04,배송완료,영업사원,현금,65426400
1000391,201846,2025-04-15,결제완료,전화,계좌이체,67108620
1000392,200521,2024-11-07,결제완료,전화,계좌이체,65901520
1000393,201611,2024-08-30,배송중,매장,여신,32479860
1000394,201705,2025-10-09,배송완료,온라인,현금,70225650
1000395,200500,2023-11-22,결제완료,온라인,현금,75380850
1000396,200049,2024-09-17,배송완료,매장,현금,4078980
1000397,200822,2025-08-07,배송완료,전화,계좌이체,43417500
1000398,201880,2024-02-06,배송중,온라인,계좌이체,58274745
1000399,201152,2023-02-28,배송완료,매장,카드,92361000
1000400,200615,2024-12-04,배송완료,온라인,계좌이체,26014800
1000401,201862,2025-08-08,배송중,온라인,카드,11560720
1000402,200229,2023-10-19,배송완료,전화,계좌이체,17438950
1000403,201130,2025-06-08,주문접수,매장,현금,89165820
1000404,200714,2024-08-22,배송완료,온라인,계좌이체,39828600
1000405,200664,2023-07-12,배송완료,매장,여신,53361650
1000406,200382,2023-08-09,배송완료,온라인,현금,42454700
1000407,201701,2025-09-01,배송완료,온라인,여신,59108870
1000408,200804,2023-11-24,배송완료,영업사원,여신,52883430
1000409,201928,2023-05-02,배송완료,매장,계좌이체,10385980
1000410,201873,2025-05-07,배송완료,매장,카드,862400
1000411,200632,2025-10-25,배송완료,매장,카드,17930750
1000412,200298,2025-01-26,배송중,매장,계좌이체,22458100
1000413,200220,2024-05-19,배송완료,온라인,현금,109898220
1000414,201288,2024-06-13,배송완료,전화,계좌이체,17633420
1000415,200893,2025-02-01,배송완료,매장,여신,4337720
1000416,200991,2023-09-01,결제완료,매장,카드,1339595
1000417,201943,2025-08-15,배송중,온라인,카드,132930960
1000418,201498,2025-10-28,배송완료,영업사원,카드,130399600
1000419,201583,2023-02-25,배송완료,온라인,현금,159258285
1000420,200562,2024-10-12,배송완료,영업사원,카드,69096500
1000421,201817,2024-03-12,결제완료,영업사원,카드,70836500
1000422,200487,2023-04-08,배송완료,영업사원,카드,69107725
1000423,200092,2023-06-04,취소,전화,계좌이체,67034850
1000424,200305,2023-01-06,배송완료,영업사원,계좌이체,140211700
1000425,200851,2023-01-19,배송완료,전화,여신,137939525
1000426,200878,2025-09-14,배송완료,온라인,현금,22738800
1000427,201432,2023-07-24,결제완료,전화,카드,98722445
1000428,200370,2024-03-19,배송완료,영업사원,계좌이체,124000885
1000429,201264,2025-03-20,배송완료,온라인,여신,86153190
1000430,201537,2023-10-17,주문접수,영업사원,여신,21004685
1000431,201892,2025-06-21,배송완료,매장,여신,15368340
1000432,200202,2024-02-05,배송완료,매장,여신,51349270
1000433,200869,2024-02-24,결제완료,영업사원,여신,3261600
1000434,201596,2023-07-18,결제완료,매장,카드,47118000
1000435,201231,2025-03-23,반품,영업사원,카드,68251055
1000436,200444,2025-02-11,배송중,매장,여신,4679300
1000437,201493,2024-04-09,결제완료,매장,계좌이체,42032520
1000438,201597,2023-08-21,배송중,전화,카드,44889490
1000439,200090,2024-06-25,배송완료,매장,계좌이체,56395500
1000440,200576,2025-09-09,배송완료,영업사원,카드,27930615
1000441,201737,2025-09-10,배송완료,영업사원,카드,91645765
1000442,200647,2023-11-27,취소,영업사원,현금,17786290
1000443,200856,2024-12-29,배송완료,온라인,카드,43781400
1000444,200887,2023-06-07,배송완료,전화,현금,72677200
1000445,200919,2023-12-31,결제완료,매장,카드,106498160
1000446,200803,2025-12-22,반품,온라인,여신,23873815
1000447,200158,2025-05-22,반품,매장,카드,70555280
1000448,200963,2025-12-15,배송완료,전화,계좌이체,166931600
1000449,200700,2025-05-12,취소,영업사원,현금,86593200
1000450,201501,2024-03-22,배송중,온라인,계좌이체,26964900
1000451,200661,2023-05-17,배송중,매장,여신,49781080
1000452,201662,2023-03-18,배송완료,전화,여신,108044800
1000453,200446,2023-04-18,배송중,영업사원,현금,29603520
1000454,201588,2023-04-05,배송중,매장,카드,57403440
1000455,200944,2025-09-17,배송중,온라인,계좌이체,32361620
1000456,200442,2025-08-21,배송완료,매장,현금,14974145
1000457,200272,2023-12-18,배송중,매장,여신,27931600
1000458,200641,2024-09-23,취소,전화,현금,44330400
1000459,200550,2023-12-11,배송완료,영업사원,여신,59824200
1000460,200719,2023-07-06,배송완료,온라인,계좌이체,87636780
1000461,200958,2023-03-21,배송완료,매장,여신,11472500
